"dev_eui (S)","server_time (S)","bridge_dev_eui (S)","contact_class_score (S)","contact_class_score_diff (N)","contact_id (S)","contact_reported_atstamp (N)","contact_type (S)","counter (S)","current_msg_atstamp (N)","data_type (S)","delay (N)","message (S)","message_sent_at (S)","network (S)","port (N)"
"1677912DF5CC","2021-04-05T18:39:05.515Z","277ACAC128203005","0","91","481F","1140411","2","26","1140591","0e","37","251677912df5cc0e0011676f001166bb93287602001166bb012d9302001166bb01ba1601001166bb481f5b02001166c501ba7602001166c5012d9302ffffff","2021-04-05T18:42:42.515Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:39:15.515Z","277ACAC128203005","0","147","012D","1140421","2","26","1140591","0e","37","251677912df5cc0e0011676f001166bb93287602001166bb012d9302001166bb01ba1601001166bb481f5b02001166c501ba7602001166c5012d9302ffffff","2021-04-05T18:42:42.515Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:39:21.131Z","277ACAC128203005","0","91","481F","1140421","2","25","1140591","0e","27","1b1677912df5cc0e0011676f001166c5481f5b02001166ce01ba9302001166ce012d9302001166d7012d7602001166d701ba5f01001166d793287602ffffff","2021-04-05T18:42:38.131Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:39:30.131Z","277ACAC128203005","0","147","012D","1140430","2","25","1140591","0e","27","1b1677912df5cc0e0011676f001166c5481f5b02001166ce01ba9302001166ce012d9302001166d7012d7602001166d701ba5f01001166d793287602ffffff","2021-04-05T18:42:38.131Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:39:33.360Z","277ACAC128203005","0","147","481F","1140439","2","18","1140592","0e","0","001677912df5cc0e00116770001166d7481f9302001166e1481f1a02001166e1012d3302001166e101ba9302001166ea01ba9302001166ea481f9302ffffff","2021-04-05T18:42:06.360Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:39:39.131Z","277ACAC128203005","0","118","9328","1140439","2","25","1140591","0e","27","1b1677912df5cc0e0011676f001166c5481f5b02001166ce01ba9302001166ce012d9302001166d7012d7602001166d701ba5f01001166d793287602ffffff","2021-04-05T18:42:38.131Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:39:43.360Z","277ACAC128203005","0","147","01BA","1140449","2","18","1140592","0e","0","001677912df5cc0e00116770001166d7481f9302001166e1481f1a02001166e1012d3302001166e101ba9302001166ea01ba9302001166ea481f9302ffffff","2021-04-05T18:42:06.360Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:39:52.360Z","277ACAC128203005","0","147","481F","1140458","2","18","1140592","0e","0","001677912df5cc0e00116770001166d7481f9302001166e1481f1a02001166e1012d3302001166e101ba9302001166ea01ba9302001166ea481f9302ffffff","2021-04-05T18:42:06.360Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:39:53.572Z","277ACAC128203005","0","147","012D","1140458","2","24","1140592","0e","22","161677912df5cc0e00116770001166ea012d9302001166f301ba1601001166f393287602001166fd012d3302001166fd01ba9302001166fd481f1a02ffffff","2021-04-05T18:42:29.572Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:40:02.572Z","277ACAC128203005","0","118","9328","1140467","2","24","1140592","0e","22","161677912df5cc0e00116770001166ea012d9302001166f301ba1601001166f393287602001166fd012d3302001166fd01ba9302001166fd481f1a02ffffff","2021-04-05T18:42:29.572Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:40:12.572Z","277ACAC128203005","0","26","481F","1140477","2","24","1140592","0e","22","161677912df5cc0e00116770001166ea012d9302001166f301ba1601001166f393287602001166fd012d3302001166fd01ba9302001166fd481f1a02ffffff","2021-04-05T18:42:29.572Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:40:20.266Z","277ACAC128203005","0","147","01BA","1140486","2","23","1140593","0e","18","121677912df5cc0e0011677100116706012d930200116706481f93020011670601ba93020011670f01ba16010011670f932876020011670f012d1601ffffff","2021-04-05T18:42:25.266Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:40:29.266Z","277ACAC128203005","0","22","012D","1140495","1","23","1140593","0e","18","121677912df5cc0e0011677100116706012d930200116706481f93020011670601ba93020011670f01ba16010011670f932876020011670f012d1601ffffff","2021-04-05T18:42:25.266Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:40:29.912Z","277ACAC128203005","0","147","481F","1140495","2","22","1140593","0e","13","0d1677912df5cc0e001167710011670f481f93020011671901ba930200116719481f1a0200116719012d930200116722481f93020011672201ba9302ffffff","2021-04-05T18:42:20.912Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:40:39.912Z","277ACAC128203005","0","147","012D","1140505","2","22","1140593","0e","13","0d1677912df5cc0e001167710011670f481f93020011671901ba930200116719481f1a0200116719012d930200116722481f93020011672201ba9302ffffff","2021-04-05T18:42:20.912Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:40:48.912Z","277ACAC128203005","0","147","01BA","1140514","2","22","1140593","0e","13","0d1677912df5cc0e001167710011670f481f93020011671901ba930200116719481f1a0200116719012d930200116722481f93020011672201ba9302ffffff","2021-04-05T18:42:20.912Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:40:57.229Z","277ACAC128203005","0","22","01BA","1140523","1","19","1140594","0e","0","001677912df5cc0e001167720011672b481f93020011672b932876020011672b012d16010011672b01ba16010011673501ba760200116735481f1a02ffffff","2021-04-05T18:42:08.229Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:41:07.229Z","277ACAC128203005","0","26","481F","1140533","2","19","1140594","0e","0","001677912df5cc0e001167720011672b481f93020011672b932876020011672b012d16010011672b01ba16010011673501ba760200116735481f1a02ffffff","2021-04-05T18:42:08.229Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:41:07.790Z","277ACAC128203005","0","26","012D","1140533","2","21","1140594","0e","8","081677912df5cc0e0011677200116735012d1a020011673e481f93020011673e01ba93020011673e012d93020011674801ba160100116748481f9302ffffff","2021-04-05T18:42:16.790Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:41:16.790Z","277ACAC128203005","0","147","012D","1140542","2","21","1140594","0e","8","081677912df5cc0e0011677200116735012d1a020011673e481f93020011673e01ba93020011673e012d93020011674801ba160100116748481f9302ffffff","2021-04-05T18:42:16.790Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:41:26.790Z","277ACAC128203005","0","147","481F","1140552","2","21","1140594","0e","8","081677912df5cc0e0011677200116735012d1a020011673e481f93020011673e01ba93020011673e012d93020011674801ba160100116748481f9302ffffff","2021-04-05T18:42:16.790Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:41:27.273Z","277ACAC128203005","0","26","012D","1140552","2","20","1140594","0e","3","031677912df5cc0e001167720011674893285b0200116748012d1a0200116751481f1a020011675101ba930200116751012d33020011675a01ba9302ffffff","2021-04-05T18:42:12.273Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:41:36.273Z","277ACAC128203005","0","51","012D","1140561","2","20","1140594","0e","3","031677912df5cc0e001167720011674893285b0200116748012d1a0200116751481f1a020011675101ba930200116751012d33020011675a01ba9302ffffff","2021-04-05T18:42:12.273Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:41:44.977Z","277ACAC128203005","0","147","012D","1140570","2","31","1140647","0e","0","001677912df5cc0e001167a70011675a481f93020011675a012d930200116764481f930200116764012d5d020011676401ba16010011676493289302ffffff","2021-04-05T18:43:01.977Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:41:45.273Z","277ACAC128203005","0","147","01BA","1140570","2","20","1140594","0e","3","031677912df5cc0e001167720011674893285b0200116748012d1a0200116751481f1a020011675101ba930200116751012d33020011675a01ba9302ffffff","2021-04-05T18:42:12.273Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:41:54.977Z","277ACAC128203005","0","147","9328","1140580","2","31","1140647","0e","0","001677912df5cc0e001167a70011675a481f93020011675a012d930200116764481f930200116764012d5d020011676401ba16010011676493289302ffffff","2021-04-05T18:43:01.977Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:42:04.213Z","277ACAC128203005","0","26","481F","1140589","2","58","1140648","0e","117","751677912df5cc0e001167a80011676d01ba93020011676d012d93020011676d481f1a020011677601ba930200116776012d760200116776481f9302ffffff","2021-04-05T18:45:00.213Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:42:13.213Z","277ACAC128203005","0","147","481F","1140598","2","58","1140648","0e","117","751677912df5cc0e001167a80011676d01ba93020011676d012d93020011676d481f1a020011677601ba930200116776012d760200116776481f9302ffffff","2021-04-05T18:45:00.213Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:42:22.791Z","277ACAC128203005","0","91","012D","1140608","2","57","1140648","0e","113","711677912df5cc0e001167a80011678001ba160100116780481f9302001167809328930200116780012d5b0200116789012d760200116789481f1a02ffffff","2021-04-05T18:44:55.791Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:42:31.310Z","277ACAC128203005","0","147","01BA","1140617","2","56","1140649","0e","108","6c1677912df5cc0e001167a90011678901ba930200116792012d93020011679201ba930200116792481f93020011679c012d33020011679c01ba1601ffffff","2021-04-05T18:44:51.310Z","HELIUM","14"
