"dev_eui (S)","server_time (S)","bridge_dev_eui (S)","contact_class_score (S)","contact_class_score_diff (N)","contact_id (S)","contact_reported_atstamp (N)","contact_type (S)","counter (S)","current_msg_atstamp (N)","data_type (S)","delay (N)","message (S)","message_sent_at (S)","network (S)","port (N)"
"1677912DF5CC","2021-04-05T17:45:31.816Z","277ACAC128203005","0","26","481F","1137176","2","3","1137420","0e","100","641677912df5cc0e00115b0c00115a18012d1a0200115a1801ba160100115a189328330200115a18481f1a0200115a22012d330200115a2201ba1a02ffffff","2021-04-05T17:51:15.816Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:45:33.597Z","277ACAC128203005","0","147","481F","1137074","2","9","1137417","0e","255","ff1677912df5cc0e00115b09001159b293289302001159b2481f9302001159bb01ba7602001159bb481f9302001159bb93289302001159c493283302ffffff","2021-04-05T17:55:31.597Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:45:41.540Z","277ACAC128203005","0","147","9328","1137186","2","2","1137420","0e","96","601677912df5cc0e00115b0c00115a229328930200115a2b01ba760200115a2b9328930200115a2b012d930200115a2b481f930200115a3401ba1601ffffff","2021-04-05T17:51:11.540Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:45:41.816Z","277ACAC128203005","0","26","01BA","1137186","2","3","1137420","0e","100","641677912df5cc0e00115b0c00115a18012d1a0200115a1801ba160100115a189328330200115a18481f1a0200115a22012d330200115a2201ba1a02ffffff","2021-04-05T17:51:15.816Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:45:42.597Z","277ACAC128203005","0","147","9328","1137083","2","9","1137417","0e","255","ff1677912df5cc0e00115b09001159b293289302001159b2481f9302001159bb01ba7602001159bb481f9302001159bb93289302001159c493283302ffffff","2021-04-05T17:55:31.597Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:45:45.416Z","277ACAC128203005","0","22","01BA","1137092","1","8","1137418","0e","255","ff1677912df5cc0e00115b0a001159c4481f3302001159c401ba1601001159ce01ba7602001159ce481f9302001159d793289302001159d7481f9302ffffff","2021-04-05T17:55:26.416Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:45:48.277Z","277ACAC128203005","0","26","481F","1137036","2","21","1137416","0e","255","ff1677912df5cc0e00115b080011598c932833020011598c481f1a0200115996481f930200115996932893020011599601ba33020011599f01ba5b02ffffff","2021-04-05T17:56:23.277Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:45:50.540Z","277ACAC128203005","0","147","481F","1137195","2","2","1137420","0e","96","601677912df5cc0e00115b0c00115a229328930200115a2b01ba760200115a2b9328930200115a2b012d930200115a2b481f930200115a3401ba1601ffffff","2021-04-05T17:51:11.540Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:45:51.597Z","277ACAC128203005","0","51","9328","1137092","2","9","1137417","0e","255","ff1677912df5cc0e00115b09001159b293289302001159b2481f9302001159bb01ba7602001159bb481f9302001159bb93289302001159c493283302ffffff","2021-04-05T17:55:31.597Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:45:55.416Z","277ACAC128203005","0","147","481F","1137102","2","8","1137418","0e","255","ff1677912df5cc0e00115b0a001159c4481f3302001159c401ba1601001159ce01ba7602001159ce481f9302001159d793289302001159d7481f9302ffffff","2021-04-05T17:55:26.416Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:45:58.277Z","277ACAC128203005","0","51","01BA","1137046","2","21","1137416","0e","255","ff1677912df5cc0e00115b080011598c932833020011598c481f1a0200115996481f930200115996932893020011599601ba33020011599f01ba5b02ffffff","2021-04-05T17:56:23.277Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:45:59.540Z","277ACAC128203005","0","22","01BA","1137204","1","2","1137420","0e","96","601677912df5cc0e00115b0c00115a229328930200115a2b01ba760200115a2b9328930200115a2b012d930200115a2b481f930200115a3401ba1601ffffff","2021-04-05T17:51:11.540Z","HELIUM","14"
