"dev_eui (S)","server_time (S)","bridge_dev_eui (S)","contact_class_score (S)","contact_class_score_diff (N)","contact_id (S)","contact_reported_atstamp (N)","contact_type (S)","counter (S)","current_msg_atstamp (N)","data_type (S)","delay (N)","message (S)","message_sent_at (S)","network (S)","port (N)"
"1677912DF5CC","2021-04-05T18:05:44.947Z","277ACAC128203005","0","147","9328","1138407","2","36","1138995","0e","59","3b1677912df5cc0e0011613300115ede01ba1a0200115ee701ba5b0200115ee7012d930200115ee7481f330200115ee79328930200115ef093285b02ffffff","2021-04-05T18:16:31.947Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:05:53.487Z","277ACAC128203005","0","51","012D","1138416","2","35","1138996","0e","54","361677912df5cc0e0011613400115ef0481f930200115ef001ba160100115ef0012d330200115efa01ba1a0200115efa481f930200115efa012d3302ffffff","2021-04-05T18:16:27.487Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:05:53.947Z","277ACAC128203005","0","91","9328","1138416","2","36","1138995","0e","59","3b1677912df5cc0e0011613300115ede01ba1a0200115ee701ba5b0200115ee7012d930200115ee7481f330200115ee79328930200115ef093285b02ffffff","2021-04-05T18:16:31.947Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:06:03.487Z","277ACAC128203005","0","51","012D","1138426","2","35","1138996","0e","54","361677912df5cc0e0011613400115ef0481f930200115ef001ba160100115ef0012d330200115efa01ba1a0200115efa481f930200115efa012d3302ffffff","2021-04-05T18:16:27.487Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:06:12.552Z","277ACAC128203005","0","118","01BA","1138435","2","22","1138996","0e","0","001677912df5cc0e0011613400115f03012d930200115f03481f930200115f039328930200115f0301ba760200115f0c9328760200115f0c012d3302ffffff","2021-04-05T18:15:33.552Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:06:21.227Z","277ACAC128203005","0","147","481F","1138444","2","34","1138997","0e","49","311677912df5cc0e0011613500115f0c01ba160100115f0c481f930200115f1601ba5b0200115f16012d330200115f16481f930200115f1f012d9302ffffff","2021-04-05T18:16:23.227Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:06:21.552Z","277ACAC128203005","0","51","012D","1138444","2","22","1138996","0e","0","001677912df5cc0e0011613400115f03012d930200115f03481f930200115f039328930200115f0301ba760200115f0c9328760200115f0c012d3302ffffff","2021-04-05T18:15:33.552Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:06:31.227Z","277ACAC128203005","0","147","481F","1138454","2","34","1138997","0e","49","311677912df5cc0e0011613500115f0c01ba160100115f0c481f930200115f1601ba5b0200115f16012d330200115f16481f930200115f1f012d9302ffffff","2021-04-05T18:16:23.227Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:06:40.227Z","277ACAC128203005","0","147","012D","1138463","2","34","1138997","0e","49","311677912df5cc0e0011613500115f0c01ba160100115f0c481f930200115f1601ba5b0200115f16012d330200115f16481f930200115f1f012d9302ffffff","2021-04-05T18:16:23.227Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:06:40.627Z","277ACAC128203005","0","147","9328","1138463","2","33","1138997","0e","44","2c1677912df5cc0e0011613500115f1f481f930200115f1f01ba930200115f1f9328930200115f2801ba160100115f2893285b0200115f28012d3302ffffff","2021-04-05T18:16:18.627Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:06:49.627Z","277ACAC128203005","0","51","012D","1138472","2","33","1138997","0e","44","2c1677912df5cc0e0011613500115f1f481f930200115f1f01ba930200115f1f9328930200115f2801ba160100115f2893285b0200115f28012d3302ffffff","2021-04-05T18:16:18.627Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:07:04.287Z","277ACAC128203005","0","26","01BA","1138482","2","32","1138997","0e","35","231677912df5cc0e0011613500115f32012d330200115f3201ba1a0200115f5301ba5b0200115f53012d930200115f53481f5b0200115f5393289302ffffff","2021-04-05T18:16:14.287Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:07:07.485Z","277ACAC128203005","0","147","481F","1138482","2","6","1138506","0e","0","001677912df5cc0e00115f4a00115f32012d330200115f3201ba1a0200115f32481f930200115f33012d930200115f33481f930200115f3301ba7602ffffff","2021-04-05T18:07:31.485Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:07:08.352Z","277ACAC128203005","0","147","9328","1138483","2","11","1138507","0e","18","121677912df5cc0e00115f4b00115f339328930200115f3c012d330200115f3c9328760200115f3c01ba160100115f3c481f930200115f45012d7602ffffff","2021-04-05T18:07:50.352Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:07:08.485Z","277ACAC128203005","0","118","01BA","1138483","2","6","1138506","0e","0","001677912df5cc0e00115f4a00115f32012d330200115f3201ba1a0200115f32481f930200115f33012d930200115f33481f930200115f3301ba7602ffffff","2021-04-05T18:07:31.485Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:07:17.352Z","277ACAC128203005","0","147","481F","1138492","2","11","1138507","0e","18","121677912df5cc0e00115f4b00115f339328930200115f3c012d330200115f3c9328760200115f3c01ba160100115f3c481f930200115f45012d7602ffffff","2021-04-05T18:07:50.352Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:07:26.352Z","277ACAC128203005","0","118","012D","1138501","2","11","1138507","0e","18","121677912df5cc0e00115f4b00115f339328930200115f3c012d330200115f3c9328760200115f3c01ba160100115f3c481f930200115f45012d7602ffffff","2021-04-05T18:07:50.352Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:07:27.031Z","277ACAC128203005","0","147","9328","1138501","2","10","1138507","0e","13","0d1677912df5cc0e00115f4b00115f4501ba330200115f45481f930200115f4593289302ffffffffffffffffffffffffffffffffffffffffffffffffffffff","2021-04-05T18:07:46.031Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:07:37.287Z","277ACAC128203005","0","147","9328","1138515","2","32","1138997","0e","35","231677912df5cc0e0011613500115f32012d330200115f3201ba1a0200115f5301ba5b0200115f53012d930200115f53481f5b0200115f5393289302ffffff","2021-04-05T18:16:14.287Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:07:41.189Z","277ACAC128203005","0","91","9328","1138524","2","23","1138998","0e","0","001677912df5cc0e0011613600115f5c01ba160100115f5c481f930200115f5c012d330200115f5c93285b0200115f65481f930200115f6501ba3302ffffff","2021-04-05T18:15:35.189Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:07:50.189Z","277ACAC128203005","0","51","01BA","1138533","2","23","1138998","0e","0","001677912df5cc0e0011613600115f5c01ba160100115f5c481f930200115f5c012d330200115f5c93285b0200115f65481f930200115f6501ba3302ffffff","2021-04-05T18:15:35.189Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:07:51.446Z","277ACAC128203005","0","51","012D","1138533","2","31","1138998","0e","29","1d1677912df5cc0e0011613600115f65012d330200115f6f01ba930200115f6f481f930200115f6f012d930200115f6f9328930200115f78012d3302ffffff","2021-04-05T18:16:05.446Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:08:01.446Z","277ACAC128203005","0","147","9328","1138543","2","31","1138998","0e","29","1d1677912df5cc0e0011613600115f65012d330200115f6f01ba930200115f6f481f930200115f6f012d930200115f6f9328930200115f78012d3302ffffff","2021-04-05T18:16:05.446Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:08:09.987Z","277ACAC128203005","0","51","9328","1138552","2","30","1138999","0e","24","181677912df5cc0e0011613700115f7801ba160100115f789328330200115f9993285b0200115f99012d330200115f9901ba160100115f99481f9302ffffff","2021-04-05T18:16:00.987Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:08:10.446Z","277ACAC128203005","0","51","012D","1138552","2","31","1138998","0e","29","1d1677912df5cc0e0011613600115f65012d330200115f6f01ba930200115f6f481f930200115f6f012d930200115f6f9328930200115f78012d3302ffffff","2021-04-05T18:16:05.446Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:08:14.872Z","277ACAC128203005","0","51","012D","1138553","2","34","1138571","0e","57","391677912df5cc0e00115f8b00115f79012d330200115f83481f760200115f8301ba760200115f839328930200115f83012d9302ffffffffffffffffffffff","2021-04-05T18:09:29.872Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:08:24.872Z","277ACAC128203005","0","147","012D","1138563","2","34","1138571","0e","57","391677912df5cc0e00115f8b00115f79012d330200115f83481f760200115f8301ba760200115f839328930200115f83012d9302ffffffffffffffffffffff","2021-04-05T18:09:29.872Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:08:42.987Z","277ACAC128203005","0","147","481F","1138585","2","30","1138999","0e","24","181677912df5cc0e0011613700115f7801ba160100115f789328330200115f9993285b0200115f99012d330200115f9901ba160100115f99481f9302ffffff","2021-04-05T18:16:00.987Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:08:51.788Z","277ACAC128203005","0","147","9328","1138594","2","24","1138999","0e","0","001677912df5cc0e0011613700115fa2012d1a0200115fa201ba330200115fa29328930200115fab012d930200115fab01ba930200115fab481f9302ffffff","2021-04-05T18:15:36.788Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:09:00.547Z","277ACAC128203005","0","147","9328","1138603","2","29","1139000","0e","19","131677912df5cc0e0011613800115fab9328930200115fb501ba160100115fb5481f330200115fb59328330200115fb5012d330200115fbe01ba5b02ffffff","2021-04-05T18:15:56.547Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:09:00.788Z","277ACAC128203005","0","147","481F","1138603","2","24","1138999","0e","0","001677912df5cc0e0011613700115fa2012d1a0200115fa201ba330200115fa29328930200115fab012d930200115fab01ba930200115fab481f9302ffffff","2021-04-05T18:15:36.788Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:09:10.547Z","277ACAC128203005","0","51","012D","1138613","2","29","1139000","0e","19","131677912df5cc0e0011613800115fab9328930200115fb501ba160100115fb5481f330200115fb59328330200115fb5012d330200115fbe01ba5b02ffffff","2021-04-05T18:15:56.547Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:09:19.547Z","277ACAC128203005","0","91","01BA","1138622","2","29","1139000","0e","19","131677912df5cc0e0011613800115fab9328930200115fb501ba160100115fb5481f330200115fb59328330200115fb5012d330200115fbe01ba5b02ffffff","2021-04-05T18:15:56.547Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:09:20.107Z","277ACAC128203005","0","51","012D","1138622","2","28","1139000","0e","14","0e1677912df5cc0e0011613800115fbe012d330200115fc7481f930200115fc701ba5b0200115fc7012d930200115fd101ba160100115fd1481f1a02ffffff","2021-04-05T18:15:52.107Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:09:29.107Z","277ACAC128203005","0","147","012D","1138631","2","28","1139000","0e","14","0e1677912df5cc0e0011613800115fbe012d330200115fc7481f930200115fc701ba5b0200115fc7012d930200115fd101ba160100115fd1481f1a02ffffff","2021-04-05T18:15:52.107Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:09:38.669Z","277ACAC128203005","0","91","9328","1138641","2","27","1139001","0e","9","091677912df5cc0e0011613900115fd1012d330200115fd193285b0200115fda481f930200115fda01ba1a0200115fda012d1a0200115fe3012d9302ffffff","2021-04-05T18:15:47.669Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:09:39.107Z","277ACAC128203005","0","26","481F","1138641","2","28","1139000","0e","14","0e1677912df5cc0e0011613800115fbe012d330200115fc7481f930200115fc701ba5b0200115fc7012d930200115fd101ba160100115fd1481f1a02ffffff","2021-04-05T18:15:52.107Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:09:47.669Z","277ACAC128203005","0","26","012D","1138650","2","27","1139001","0e","9","091677912df5cc0e0011613900115fd1012d330200115fd193285b0200115fda481f930200115fda01ba1a0200115fda012d1a0200115fe3012d9302ffffff","2021-04-05T18:15:47.669Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:09:56.669Z","277ACAC128203005","0","147","012D","1138659","2","27","1139001","0e","9","091677912df5cc0e0011613900115fd1012d330200115fd193285b0200115fda481f930200115fda01ba1a0200115fda012d1a0200115fe3012d9302ffffff","2021-04-05T18:15:47.669Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:09:56.746Z","277ACAC128203005","0","147","9328","1138659","2","25","1139001","0e","0","001677912df5cc0e0011613900115fe3481f930200115fe301ba760200115fe39328930200115fed012d330200115fed481f1a0200115fed01ba1601ffffff","2021-04-05T18:15:38.746Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:10:06.207Z","277ACAC128203005","0","91","9328","1138669","2","26","1139002","0e","4","041677912df5cc0e0011613a00115fed93285b0200115ff69328930200115ff6012d1a0200115ff601ba330200115fff012d930200115fff481f9302ffffff","2021-04-05T18:15:43.207Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:10:06.746Z","277ACAC128203005","0","22","01BA","1138669","1","25","1139001","0e","0","001677912df5cc0e0011613900115fe3481f930200115fe301ba760200115fe39328930200115fed012d330200115fed481f1a0200115fed01ba1601ffffff","2021-04-05T18:15:38.746Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:10:15.207Z","277ACAC128203005","0","51","01BA","1138678","2","26","1139002","0e","4","041677912df5cc0e0011613a00115fed93285b0200115ff69328930200115ff6012d1a0200115ff601ba330200115fff012d930200115fff481f9302ffffff","2021-04-05T18:15:43.207Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:10:24.207Z","277ACAC128203005","0","147","481F","1138687","2","26","1139002","0e","4","041677912df5cc0e0011613a00115fed93285b0200115ff69328930200115ff6012d1a0200115ff601ba330200115fff012d930200115fff481f9302ffffff","2021-04-05T18:15:43.207Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:10:24.567Z","277ACAC128203005","0","147","9328","1138687","2","50","1139055","0e","53","351677912df5cc0e0011616f00115fff01ba760200115fff9328930200116009481f1a020011600901ba160100116009012d33020011600993283302ffffff","2021-04-05T18:17:25.567Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:10:34.567Z","277ACAC128203005","0","51","9328","1138697","2","50","1139055","0e","53","351677912df5cc0e0011616f00115fff01ba760200115fff9328930200116009481f1a020011600901ba160100116009012d33020011600993283302ffffff","2021-04-05T18:17:25.567Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:10:44.271Z","277ACAC128203005","0","26","012D","1138706","2","49","1139055","0e","48","301677912df5cc0e0011616f0011601201ba760200116012012d1a020011601c481f93020011601c01ba93020011601c012d93020011601c93289302ffffff","2021-04-05T18:17:21.271Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:10:54.271Z","277ACAC128203005","0","147","9328","1138716","2","49","1139055","0e","48","301677912df5cc0e0011616f0011601201ba760200116012012d1a020011601c481f93020011601c01ba93020011601c012d93020011601c93289302ffffff","2021-04-05T18:17:21.271Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:11:02.727Z","277ACAC128203005","0","22","01BA","1138725","1","48","1139056","0e","43","2b1677912df5cc0e00116170001160259328760200116025012d330200116025481f1a020011602501ba16010011602e012d1a020011602e01ba3302ffffff","2021-04-05T18:17:16.727Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:11:11.512Z","277ACAC128203005","0","147","481F","1138734","2","37","1139056","0e","0","001677912df5cc0e001161700011602e481f93020011603801ba760200116038481f930200116038012d93020011604101ba16010011604193285b02ffffff","2021-04-05T18:16:33.512Z","HELIUM","14"
