"dev_eui (S)","server_time (S)","bridge_dev_eui (S)","contact_class_score (S)","contact_class_score_diff (N)","contact_id (S)","contact_reported_atstamp (N)","contact_type (S)","counter (S)","current_msg_atstamp (N)","data_type (S)","delay (N)","message (S)","message_sent_at (S)","network (S)","port (N)"
"1677912DF5CC","2021-04-05T17:56:08.262Z","277ACAC128203005","0","22","01BA","1137812","1","6","1137898","0e","163","a31677912df5cc0e00115cea00115c8b9328930200115c94012d330200115c94481f1a0200115c949328330200115c9401ba160100115c9e012d5b02ffffff","2021-04-05T18:00:17.262Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:56:18.262Z","277ACAC128203005","0","91","012D","1137822","2","6","1137898","0e","163","a31677912df5cc0e00115cea00115c8b9328930200115c94012d330200115c94481f1a0200115c949328330200115c9401ba160100115c9e012d5b02ffffff","2021-04-05T18:00:17.262Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:56:35.909Z","277ACAC128203005","0","22","01BA","1137840","1","4","1137899","0e","149","951677912df5cc0e00115ceb00115cb093285b0200115cb001ba160100115cba012d330200115cba01ba330200115cba481f760200115cba93289302ffffff","2021-04-05T18:00:03.909Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:56:39.428Z","277ACAC128203005","0","22","01BA","1137840","1","5","1137899","0e","154","9a1677912df5cc0e00115ceb00115cb093285b0200115cb001ba160100115cba012d330200115cba01ba330200115cba481f760200115cba93289302ffffff","2021-04-05T18:00:12.428Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:56:45.909Z","277ACAC128203005","0","147","9328","1137850","2","4","1137899","0e","149","951677912df5cc0e00115ceb00115cb093285b0200115cb001ba160100115cba012d330200115cba01ba330200115cba481f760200115cba93289302ffffff","2021-04-05T18:00:03.909Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:56:49.428Z","277ACAC128203005","0","147","9328","1137850","2","5","1137899","0e","154","9a1677912df5cc0e00115ceb00115cb093285b0200115cb001ba160100115cba012d330200115cba01ba330200115cba481f760200115cba93289302ffffff","2021-04-05T18:00:12.428Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:56:55.005Z","277ACAC128203005","0","147","012D","1137859","2","3","1137899","0e","145","911677912df5cc0e00115ceb00115cc301ba930200115cc39328930200115cc3012d930200115ccc012d330200115ccc481f330200115ccc01ba1601ffffff","2021-04-05T18:00:00.005Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:57:03.249Z","277ACAC128203005","0","51","9328","1137868","2","2","1137900","0e","140","8c1677912df5cc0e00115cec00115ccc9328330200115cd6481f5b0200115cd6012d330200115cd601ba760200115cd69328930200115cdf01ba9302ffffff","2021-04-05T17:59:55.249Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:57:04.005Z","277ACAC128203005","0","22","01BA","1137868","1","3","1137899","0e","145","911677912df5cc0e00115ceb00115cc301ba930200115cc39328930200115cc3012d930200115ccc012d330200115ccc481f330200115ccc01ba1601ffffff","2021-04-05T18:00:00.005Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:57:13.249Z","277ACAC128203005","0","147","9328","1137878","2","2","1137900","0e","140","8c1677912df5cc0e00115cec00115ccc9328330200115cd6481f5b0200115cd6012d330200115cd601ba760200115cd69328930200115cdf01ba9302ffffff","2021-04-05T17:59:55.249Z","HELIUM","14"
