"dev_eui (S)","server_time (S)","bridge_dev_eui (S)","contact_class_score (S)","contact_class_score_diff (N)","contact_id (S)","contact_reported_atstamp (N)","contact_type (S)","counter (S)","current_msg_atstamp (N)","data_type (S)","delay (N)","message (S)","message_sent_at (S)","network (S)","port (N)"
"1677912DF5CC","2021-04-05T17:21:41.340Z","277ACAC128203005","0","91","9328","1135742","2","78","1136395","0e","38","261677912df5cc0e0011570b000b3d8601ba1a02000b3d86932893020011547e481f1a020011547e01ba16010011547e93285b020011548701ba1a02ffffff","2021-04-05T17:33:12.340Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:21:50.340Z","277ACAC128203005","0","26","01BA","1135751","2","78","1136395","0e","38","261677912df5cc0e0011570b000b3d8601ba1a02000b3d86932893020011547e481f1a020011547e01ba16010011547e93285b020011548701ba1a02ffffff","2021-04-05T17:33:12.340Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:21:58.562Z","277ACAC128203005","0","147","481F","1135760","2","68","1136396","0e","0","001677912df5cc0e0011570c0011549001ba5b0200115490481f93020011549a01ba16010011549a93285b020011549a481f1a02001154a301ba1a02ffffff","2021-04-05T17:32:34.562Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:22:08.562Z","277ACAC128203005","0","26","481F","1135770","2","68","1136396","0e","0","001677912df5cc0e0011570c0011549001ba5b0200115490481f93020011549a01ba16010011549a93285b020011549a481f1a02001154a301ba1a02ffffff","2021-04-05T17:32:34.562Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:22:17.562Z","277ACAC128203005","0","26","01BA","1135779","2","68","1136396","0e","0","001677912df5cc0e0011570c0011549001ba5b0200115490481f93020011549a01ba16010011549a93285b020011549a481f1a02001154a301ba1a02ffffff","2021-04-05T17:32:34.562Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:22:19.041Z","277ACAC128203005","0","147","9328","1135779","2","77","1136396","0e","32","201677912df5cc0e0011570c001154a393289302001154ac01ba7602001154ac481f9302001154ac93289302001154b601ba1601001154b6481f1a02ffffff","2021-04-05T17:33:08.041Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:22:28.041Z","277ACAC128203005","0","147","9328","1135788","2","77","1136396","0e","32","201677912df5cc0e0011570c001154a393289302001154ac01ba7602001154ac481f9302001154ac93289302001154b601ba1601001154b6481f1a02ffffff","2021-04-05T17:33:08.041Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:22:37.701Z","277ACAC128203005","0","91","9328","1135798","2","76","1136397","0e","27","1b1677912df5cc0e0011570d001154b693285b02001154bf01ba1a02001154c801ba7602001154c8481f9302001154c893289302001154d293283302ffffff","2021-04-05T17:33:03.701Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:22:38.041Z","277ACAC128203005","0","26","481F","1135798","2","77","1136396","0e","32","201677912df5cc0e0011570c001154a393289302001154ac01ba7602001154ac481f9302001154ac93289302001154b601ba1601001154b6481f1a02ffffff","2021-04-05T17:33:08.041Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:22:46.701Z","277ACAC128203005","0","26","01BA","1135807","2","76","1136397","0e","27","1b1677912df5cc0e0011570d001154b693285b02001154bf01ba1a02001154c801ba7602001154c8481f9302001154c893289302001154d293283302ffffff","2021-04-05T17:33:03.701Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:22:55.701Z","277ACAC128203005","0","147","9328","1135816","2","76","1136397","0e","27","1b1677912df5cc0e0011570d001154b693285b02001154bf01ba1a02001154c801ba7602001154c8481f9302001154c893289302001154d293283302ffffff","2021-04-05T17:33:03.701Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:23:05.260Z","277ACAC128203005","0","26","481F","1135826","2","69","1136397","0e","0","001677912df5cc0e0011570d001154d201ba1601001154d2481f1a02001154db01ba1a02001154db93289302001154e593289302001154e501ba7602ffffff","2021-04-05T17:32:36.260Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:23:05.701Z","277ACAC128203005","0","51","9328","1135826","2","76","1136397","0e","27","1b1677912df5cc0e0011570d001154b693285b02001154bf01ba1a02001154c801ba7602001154c8481f9302001154c893289302001154d293283302ffffff","2021-04-05T17:33:03.701Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:23:14.260Z","277ACAC128203005","0","147","9328","1135835","2","69","1136397","0e","0","001677912df5cc0e0011570d001154d201ba1601001154d2481f1a02001154db01ba1a02001154db93289302001154e593289302001154e501ba7602ffffff","2021-04-05T17:32:36.260Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:23:24.260Z","277ACAC128203005","0","118","01BA","1135845","2","69","1136397","0e","0","001677912df5cc0e0011570d001154d201ba1601001154d2481f1a02001154db01ba1a02001154db93289302001154e593289302001154e501ba7602ffffff","2021-04-05T17:32:36.260Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:23:24.380Z","277ACAC128203005","0","147","481F","1135845","2","75","1136398","0e","22","161677912df5cc0e0011570e001154e5481f9302001154ee93285b02001154ee01ba1601001154ee481f1a02001154f701ba1a0200115501481f9302ffffff","2021-04-05T17:32:59.380Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:23:33.380Z","277ACAC128203005","0","26","481F","1135854","2","75","1136398","0e","22","161677912df5cc0e0011570e001154e5481f9302001154ee93285b02001154ee01ba1601001154ee481f1a02001154f701ba1a0200115501481f9302ffffff","2021-04-05T17:32:59.380Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:23:42.380Z","277ACAC128203005","0","26","01BA","1135863","2","75","1136398","0e","22","161677912df5cc0e0011570e001154e5481f9302001154ee93285b02001154ee01ba1601001154ee481f1a02001154f701ba1a0200115501481f9302ffffff","2021-04-05T17:32:59.380Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:23:52.094Z","277ACAC128203005","0","147","9328","1135873","2","74","1136398","0e","18","121677912df5cc0e0011570e0011550101ba5b0200115501932893020011550a481f1a020011550a01ba16010011550a932833020011551301ba1a02ffffff","2021-04-05T17:32:55.094Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:23:52.380Z","277ACAC128203005","0","147","481F","1135873","2","75","1136398","0e","22","161677912df5cc0e0011570e001154e5481f9302001154ee93285b02001154ee01ba1601001154ee481f1a02001154f701ba1a0200115501481f9302ffffff","2021-04-05T17:32:59.380Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:24:01.094Z","277ACAC128203005","0","51","9328","1135882","2","74","1136398","0e","18","121677912df5cc0e0011570e0011550101ba5b0200115501932893020011550a481f1a020011550a01ba16010011550a932833020011551301ba1a02ffffff","2021-04-05T17:32:55.094Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:24:10.094Z","277ACAC128203005","0","26","01BA","1135891","2","74","1136398","0e","18","121677912df5cc0e0011570e0011550101ba5b0200115501932893020011550a481f1a020011550a01ba16010011550a932833020011551301ba1a02ffffff","2021-04-05T17:32:55.094Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:24:20.820Z","277ACAC128203005","0","118","01BA","1135901","2","73","1136398","0e","13","0d1677912df5cc0e0011570e0011551d481f93020011551d932893020011551d01ba760200115526481f1a0200115526932833020011552601ba1601ffffff","2021-04-05T17:32:50.820Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:24:29.820Z","277ACAC128203005","0","22","01BA","1135910","1","73","1136398","0e","13","0d1677912df5cc0e0011570e0011551d481f93020011551d932893020011551d01ba760200115526481f1a0200115526932833020011552601ba1601ffffff","2021-04-05T17:32:50.820Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:24:37.769Z","277ACAC128203005","0","147","9328","1135919","2","70","1136399","0e","0","001677912df5cc0e0011570f0011552f01ba1a020011552f932893020011553901ba7602001155399328930200115539481f93020011554293283302ffffff","2021-04-05T17:32:37.769Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:24:47.769Z","277ACAC128203005","0","147","481F","1135929","2","70","1136399","0e","0","001677912df5cc0e0011570f0011552f01ba1a020011552f932893020011553901ba7602001155399328930200115539481f93020011554293283302ffffff","2021-04-05T17:32:37.769Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:24:56.769Z","277ACAC128203005","0","51","9328","1135938","2","70","1136399","0e","0","001677912df5cc0e0011570f0011552f01ba1a020011552f932893020011553901ba7602001155399328930200115539481f93020011554293283302ffffff","2021-04-05T17:32:37.769Z","HELIUM","14"
"1677912DF5CC","2021-04-05T17:24:57.421Z","277ACAC128203005","0","22","01BA","1135938","1","72","1136399","0e","8","081677912df5cc0e0011570f00115542481f1a020011554201ba16010011554b01ba1a020011555501ba930200115555481f93020011555593289302ffffff","2021-04-05T17:32:46.421Z","HELIUM","14"
