"dev_eui (S)","server_time (S)","bridge_dev_eui (S)","contact_class_score (S)","contact_class_score_diff (N)","contact_id (S)","contact_reported_atstamp (N)","contact_type (S)","counter (S)","current_msg_atstamp (N)","data_type (S)","delay (N)","message (S)","message_sent_at (S)","network (S)","port (N)"
"1677912DF5CC","2021-04-05T18:20:24.289Z","277ACAC128203005","0","147","9328","1139183","2","25","1139355","0e","255","ff1677912df5cc0e0011629b001161ef01ba9302001161ef012d3302001161ef481f9302001161ef93289302001161f8481f9302001161f801ba9302ffffff","2021-04-05T18:27:31.289Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:20:24.365Z","277ACAC128203005","0","147","9328","1139286","2","29","1139357","0e","42","2a1677912df5cc0e0011629d0011624d012d35020011624d481f93020011624d01ba76020011625601ba350200116256012d5f010011625693289302ffffff","2021-04-05T18:22:17.365Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:20:32.774Z","277ACAC128203005","0","122","012D","1139295","2","28","1139358","0e","37","251677912df5cc0e0011629e00116256481f93020011625f481f76020011625f932893020011625f01ba93020011625f012d7a020011626901ba1601ffffff","2021-04-05T18:22:12.774Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:20:33.289Z","277ACAC128203005","0","147","01BA","1139192","2","25","1139355","0e","255","ff1677912df5cc0e0011629b001161ef01ba9302001161ef012d3302001161ef481f9302001161ef93289302001161f8481f9302001161f801ba9302ffffff","2021-04-05T18:27:31.289Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:20:42.774Z","277ACAC128203005","0","22","01BA","1139305","1","28","1139358","0e","37","251677912df5cc0e0011629e00116256481f93020011625f481f76020011625f932893020011625f01ba93020011625f012d7a020011626901ba1601ffffff","2021-04-05T18:22:12.774Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:20:43.765Z","277ACAC128203005","0","118","9328","1139305","2","27","1139358","0e","32","201677912df5cc0e0011629e00116269481f930200116269012d5d02001162699328760200116272012d93020011627201ba93020011627b481f9302ffffff","2021-04-05T18:22:08.765Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:20:52.765Z","277ACAC128203005","0","147","01BA","1139314","2","27","1139358","0e","32","201677912df5cc0e0011629e00116269481f930200116269012d5d02001162699328760200116272012d93020011627201ba93020011627b481f9302ffffff","2021-04-05T18:22:08.765Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:21:00.783Z","277ACAC128203005","0","147","012D","1139323","2","20","1139358","0e","0","001677912df5cc0e0011629e0011627b01ba93020011627b012d93020011628501ba160100116285012d5d0200116285481f93020011628593289302ffffff","2021-04-05T18:21:35.783Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:21:01.765Z","277ACAC128203005","0","147","481F","1139323","2","27","1139358","0e","32","201677912df5cc0e0011629e00116269481f930200116269012d5d02001162699328760200116272012d93020011627201ba93020011627b481f9302ffffff","2021-04-05T18:22:08.765Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:21:10.783Z","277ACAC128203005","0","147","9328","1139333","2","20","1139358","0e","0","001677912df5cc0e0011629e0011627b01ba93020011627b012d93020011628501ba160100116285012d5d0200116285481f93020011628593289302ffffff","2021-04-05T18:21:35.783Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:21:19.913Z","277ACAC128203005","0","26","012D","1139342","2","26","1139359","0e","27","1b1677912df5cc0e0011629f0011628e01ba93020011628e012d1a020011629701ba760200116297481f5b0200116297012d9302ffffffffffffffffffffff","2021-04-05T18:22:03.913Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:21:28.913Z","277ACAC128203005","0","147","012D","1139351","2","26","1139359","0e","27","1b1677912df5cc0e0011629f0011628e01ba93020011628e012d1a020011629701ba760200116297481f5b0200116297012d9302ffffffffffffffffffffff","2021-04-05T18:22:03.913Z","HELIUM","14"
