"dev_eui (S)","server_time (S)","bridge_dev_eui (S)","contact_class_score (S)","contact_class_score_diff (N)","contact_id (S)","contact_reported_atstamp (N)","contact_type (S)","counter (S)","current_msg_atstamp (N)","data_type (S)","delay (N)","message (S)","message_sent_at (S)","network (S)","port (N)"
"1677912DF5CC","2021-04-05T18:27:56.636Z","277ACAC128203005","0","118","9328","1139729","2","0","1140227","0e","19","131677912df5cc0e0011660300116407012d930200116411012d1a0200116411481f93020011641101ba160100116411932876020011641a01ba9302ffffff","2021-04-05T18:36:33.636Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:28:00.891Z","277ACAC128203005","0","118","9328","1139729","2","0","1140227","0e","19","131677912df5cc0e0011660300116407012d930200116411012d1a0200116411481f93020011641101ba160100116411932876020011641a01ba9302ffffff","2021-04-05T18:36:37.891Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:28:02.609Z","277ACAC128203005","0","147","012D","1139747","2","10","1140287","0e","18","121677912df5cc0e0011663f0011641a481f33020011641a012d5b0200116423481f93020011642301ba930200116423012d93020011642d01ba1601ffffff","2021-04-05T18:37:20.609Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:28:05.636Z","277ACAC128203005","0","147","01BA","1139738","2","0","1140227","0e","19","131677912df5cc0e0011660300116407012d930200116411012d1a0200116411481f93020011641101ba160100116411932876020011641a01ba9302ffffff","2021-04-05T18:36:33.636Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:28:09.891Z","277ACAC128203005","0","147","01BA","1139738","2","0","1140227","0e","19","131677912df5cc0e0011660300116407012d930200116411012d1a0200116411481f93020011641101ba160100116411932876020011641a01ba9302ffffff","2021-04-05T18:36:37.891Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:28:11.151Z","277ACAC128203005","0","26","012D","1139757","2","9","1140288","0e","14","0e1677912df5cc0e001166400011642d932893020011642d481f93020011642d012d1a0200116436481f330200116436012d93020011643601ba9302ffffff","2021-04-05T18:37:16.151Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:28:12.609Z","277ACAC128203005","0","22","01BA","1139757","1","10","1140287","0e","18","121677912df5cc0e0011663f0011641a481f33020011641a012d5b0200116423481f93020011642301ba930200116423012d93020011642d01ba1601ffffff","2021-04-05T18:37:20.609Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:28:20.151Z","277ACAC128203005","0","147","01BA","1139766","2","9","1140288","0e","14","0e1677912df5cc0e001166400011642d932893020011642d481f93020011642d012d1a0200116436481f330200116436012d93020011643601ba9302ffffff","2021-04-05T18:37:16.151Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:28:39.712Z","277ACAC128203005","0","147","01BA","1139785","2","8","1140288","0e","9","091677912df5cc0e001166400011644901ba93020011645201ba160100116452012d9302001164529328930200116452481f93020011645b01ba7602ffffff","2021-04-05T18:37:11.712Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:28:48.712Z","277ACAC128203005","0","147","481F","1139794","2","8","1140288","0e","9","091677912df5cc0e001166400011644901ba93020011645201ba160100116452012d9302001164529328930200116452481f93020011645b01ba7602ffffff","2021-04-05T18:37:11.712Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:28:57.712Z","277ACAC128203005","0","118","01BA","1139803","2","8","1140288","0e","9","091677912df5cc0e001166400011644901ba93020011645201ba160100116452012d9302001164529328930200116452481f93020011645b01ba7602ffffff","2021-04-05T18:37:11.712Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:28:57.859Z","277ACAC128203005","0","147","012D","1139803","2","6","1140288","0e","0","001677912df5cc0e001166400011645b481f1a020011645b012d930200116465481f93020011646501ba930200116465012d93020011646e012d1a02ffffff","2021-04-05T18:37:02.859Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:29:07.859Z","277ACAC128203005","0","147","012D","1139813","2","6","1140288","0e","0","001677912df5cc0e001166400011645b481f1a020011645b012d930200116465481f93020011646501ba930200116465012d93020011646e012d1a02ffffff","2021-04-05T18:37:02.859Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:29:16.859Z","277ACAC128203005","0","26","012D","1139822","2","6","1140288","0e","0","001677912df5cc0e001166400011645b481f1a020011645b012d930200116465481f93020011646501ba930200116465012d93020011646e012d1a02ffffff","2021-04-05T18:37:02.859Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:29:17.724Z","277ACAC128203005","0","118","9328","1139822","2","7","1140289","0e","3","031677912df5cc0e001166410011646e481f93020011646e01ba16010011646e9328760200116477481f1a0200116477012d93020011647701ba9302ffffff","2021-04-05T18:37:07.724Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:29:26.724Z","277ACAC128203005","0","147","01BA","1139831","2","7","1140289","0e","3","031677912df5cc0e001166410011646e481f93020011646e01ba16010011646e9328760200116477481f1a0200116477012d93020011647701ba9302ffffff","2021-04-05T18:37:07.724Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:29:35.011Z","277ACAC128203005","0","147","481F","1139841","2","20","1140348","0e","0","001677912df5cc0e0011667c0011648101ba930200116481012d160100116481481f93020011648a932876020011648a012d1a020011648a481f9302ffffff","2021-04-05T18:38:02.011Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:29:44.011Z","277ACAC128203005","0","147","481F","1139850","2","20","1140348","0e","0","001677912df5cc0e0011667c0011648101ba930200116481012d160100116481481f93020011648a932876020011648a012d1a020011648a481f9302ffffff","2021-04-05T18:38:02.011Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:30:04.162Z","277ACAC128203005","0","147","012D","1139869","2","14","1140348","0e","235","eb1677912df5cc0e0011667c0011649d012d9302001164a6012d7602001164a693287602001164a601ba1601001164a6481f9302001164af481f1a02ffffff","2021-04-05T18:41:58.162Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:30:13.162Z","277ACAC128203005","0","147","481F","1139878","2","14","1140348","0e","235","eb1677912df5cc0e0011667c0011649d012d9302001164a6012d7602001164a693287602001164a601ba1601001164a6481f9302001164af481f1a02ffffff","2021-04-05T18:41:58.162Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:30:21.414Z","277ACAC128203005","0","91","01BA","1139887","2","13","1140349","0e","230","e61677912df5cc0e0011667d001164af012d9302001164af01ba5b02001164b901ba9302001164b9481f9302001164b9012d5b02001164c201ba1601ffffff","2021-04-05T18:41:53.414Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:30:22.162Z","277ACAC128203005","0","26","481F","1139887","2","14","1140348","0e","235","eb1677912df5cc0e0011667c0011649d012d9302001164a6012d7602001164a693287602001164a601ba1601001164a6481f9302001164af481f1a02ffffff","2021-04-05T18:41:58.162Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:30:31.414Z","277ACAC128203005","0","91","012D","1139897","2","13","1140349","0e","230","e61677912df5cc0e0011667d001164af012d9302001164af01ba5b02001164b901ba9302001164b9481f9302001164b9012d5b02001164c201ba1601ffffff","2021-04-05T18:41:53.414Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:30:40.414Z","277ACAC128203005","0","22","01BA","1139906","1","13","1140349","0e","230","e61677912df5cc0e0011667d001164af012d9302001164af01ba5b02001164b901ba9302001164b9481f9302001164b9012d5b02001164c201ba1601ffffff","2021-04-05T18:41:53.414Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:30:41.096Z","277ACAC128203005","0","26","481F","1139906","2","21","1140349","0e","0","001677912df5cc0e0011667d001164c293287602001164c2012d1a02001164c2481f1a02001164cc012d7602001164cc01ba9302001164cc481f9302ffffff","2021-04-05T18:38:04.096Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:30:51.096Z","277ACAC128203005","0","147","481F","1139916","2","21","1140349","0e","0","001677912df5cc0e0011667d001164c293287602001164c2012d1a02001164c2481f1a02001164cc012d7602001164cc01ba9302001164cc481f9302ffffff","2021-04-05T18:38:04.096Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:30:59.071Z","277ACAC128203005","0","147","01BA","1139925","2","12","1140350","0e","225","e11677912df5cc0e0011667e001164d5481f9302001164d5012d7602001164d501ba9302001164de93287602001164de012d9302001164de01ba1601ffffff","2021-04-05T18:41:49.071Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:31:08.071Z","277ACAC128203005","0","22","01BA","1139934","1","12","1140350","0e","225","e11677912df5cc0e0011667e001164d5481f9302001164d5012d7602001164d501ba9302001164de93287602001164de012d9302001164de01ba1601ffffff","2021-04-05T18:41:49.071Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:31:08.752Z","277ACAC128203005","0","51","481F","1139934","2","11","1140350","0e","220","dc1677912df5cc0e0011667e001164de481f3302001164e8481f9302001164e8012d1a02001164e801ba9302001164f1012d9302001164f1481f9302ffffff","2021-04-05T18:41:44.752Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:31:18.752Z","277ACAC128203005","0","147","01BA","1139944","2","11","1140350","0e","220","dc1677912df5cc0e0011667e001164de481f3302001164e8481f9302001164e8012d1a02001164e801ba9302001164f1012d9302001164f1481f9302ffffff","2021-04-05T18:41:44.752Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:31:27.752Z","277ACAC128203005","0","147","481F","1139953","2","11","1140350","0e","220","dc1677912df5cc0e0011667e001164de481f3302001164e8481f9302001164e8012d1a02001164e801ba9302001164f1012d9302001164f1481f9302ffffff","2021-04-05T18:41:44.752Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:31:28.433Z","277ACAC128203005","0","147","01BA","1139953","2","10","1140350","0e","215","d71677912df5cc0e0011667e001164f101ba9302001164fa93287602001164fa012d9302001164fa481f1a02001164fa01ba160100116504012d3302ffffff","2021-04-05T18:41:40.433Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:31:37.433Z","277ACAC128203005","0","22","01BA","1139962","1","10","1140350","0e","215","d71677912df5cc0e0011667e001164f101ba9302001164fa93287602001164fa012d9302001164fa481f1a02001164fa01ba160100116504012d3302ffffff","2021-04-05T18:41:40.433Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:31:46.212Z","277ACAC128203005","0","147","481F","1139972","2","22","1140351","0e","0","001677912df5cc0e0011667f0011650401ba760200116504481f93020011650d012d35020011650d01ba93020011650d481f930200116516012d9302ffffff","2021-04-05T18:38:05.212Z","HELIUM","14"
