,contact_type,contact_class_score_diff,contact_id,counter,delay,msg_delay,msg_delay_stamps
603,0,147,481F,2,0,433,433
606,0,51,481F,1,3,636,416
608,0,147,481F,1,3,617,397
611,0,147,481F,2,0,379,379
613,0,147,481F,2,0,370,370
615,0,26,481F,1,3,571,361
616,0,147,481F,1,3,561,351
623,0,26,481F,2,0,306,306
629,0,26,481F,2,1,292,278
634,0,26,481F,2,1,260,251
636,0,147,481F,2,0,233,233
639,0,147,481F,0,2,408,267
643,0,147,481F,0,2,376,240
644,0,147,481F,0,2,367,231
647,0,147,481F,0,2,343,212
649,0,51,481F,0,2,321,194
651,0,147,481F,0,2,303,185
653,0,147,481F,0,2,280,234
660,0,118,481F,1,0,307,307
665,0,147,481F,3,2,322,270
669,0,147,481F,1,0,243,243
676,0,91,481F,1,0,197,197
677,0,147,481F,1,0,188,188
679,0,147,481F,0,3,256,67
686,0,147,481F,0,2,184,75
688,0,147,481F,0,1,158,126
690,0,51,481F,0,1,148,116
691,0,147,481F,0,0,159,159
694,0,51,481F,0,0,152,149
699,0,147,481F,3,2,202,145
702,0,147,481F,3,2,178,126
710,0,147,481F,2,2,109,72
719,0,147,481F,2,1,67,35
728,0,147,481F,2,0,636,636
731,0,147,481F,2,3,864,609
735,0,147,481F,2,0,554,554
736,0,26,481F,2,3,846,591
740,0,51,481F,1,3,792,537
744,0,147,481F,1,3,773,518
746,0,118,481F,2,0,491,491
749,0,147,481F,1,3,737,482
750,0,147,481F,1,3,727,472
753,0,147,481F,1,3,709,454
754,0,147,481F,1,3,700,445
757,0,147,481F,2,0,426,426
759,0,147,481F,2,0,417,417
762,0,147,481F,0,3,619,390
770,0,147,481F,0,3,581,416
783,0,147,481F,3,2,602,553
785,0,147,481F,3,2,592,543
790,0,147,481F,0,0,24,24
793,0,147,481F,1,1,33,15
805,0,147,481F,3,1,438,414
808,0,147,481F,2,0,396,396
814,0,26,481F,2,1,373,359
821,0,147,481F,2,0,319,315
827,0,147,481F,3,0,322,322
834,0,26,481F,3,2,309,276
840,0,147,481F,3,1,263,240
849,0,91,481F,3,0,194,194
850,0,147,481F,3,0,193,185
853,0,118,481F,1,3,460,221
855,0,147,481F,1,3,450,211
859,0,51,481F,1,3,423,194
868,0,51,481F,1,3,352,139
870,0,147,481F,1,3,330,121
876,0,51,481F,1,3,278,84
891,0,118,481F,0,0,115,110
893,0,147,481F,1,0,152,152
894,0,147,481F,1,0,142,142
898,0,147,481F,2,2,162,125
899,0,118,481F,2,2,152,115
908,0,147,481F,1,1,70,52
911,0,147,481F,1,1,55,42
912,0,147,481F,2,3,520,315
918,0,51,481F,1,0,14,6
921,0,91,481F,0,2,770,663
927,0,147,481F,0,2,716,627
931,0,147,481F,0,2,692,608
932,0,147,481F,0,1,679,657
938,0,118,481F,1,1,701,679
939,0,147,481F,2,3,308,53
942,0,51,481F,2,3,298,43
946,0,147,481F,2,3,281,26
948,0,147,481F,1,0,652,652
950,0,147,481F,1,3,263,8
952,0,147,481F,0,0,27,27
954,0,147,481F,1,1,45,27
955,0,147,481F,1,1,45,27
958,0,147,481F,1,1,26,8
960,0,147,481F,1,1,26,8
965,0,147,481F,1,0,591,583
966,0,147,481F,1,0,578,575
973,0,51,481F,1,3,153,2
976,0,147,481F,3,2,714,597
977,0,147,481F,3,2,714,597
