,contact_type,contact_class_score_diff,contact_id,counter,delay,msg_delay,msg_delay_stamps
922,1,22,01BA,0,2,773,662
923,0,51,01BA,0,2,761,654
924,0,118,01BA,0,2,746,644
925,1,22,01BA,0,2,737,635
944,0,26,01BA,1,1,675,662
945,0,118,01BA,1,3,281,26
947,0,118,01BA,1,1,665,652
953,0,26,01BA,0,0,26,26
959,1,22,01BA,1,1,21,8
961,0,26,01BA,1,0,602,602
967,0,4,01BA,1,0,569,566
971,0,26,01BA,1,3,154,3
975,0,26,01BA,3,2,656,597
