1,22,0,1,1
0,53,3,1,0
0,51,2,3,1
0,51,2,3,1
1,22,3,1,3
0,51,3,0,0
1,22,3,1,1
1,22,3,0,3
0,51,1,3,1
1,95,3,0,3
0,51,2,1,3
1,22,3,3,0
0,51,0,0,2
0,51,0,1,3
1,22,3,0,2
0,51,2,1,0
1,22,0,0,0
1,22,3,0,3
0,51,0,1,0
0,51,2,2,0
0,51,2,1,1
1,22,3,0,3
1,22,3,2,0
1,22,3,2,0
0,51,3,1,3
1,22,3,2,0
0,51,1,0,3
0,51,2,0,0
0,51,2,3,2
0,51,0,1,0
1,22,3,2,2
0,51,1,3,1
1,22,3,0,0
1,22,0,3,1
1,22,3,0,0
1,95,3,0,3
0,51,3,1,3
1,22,3,3,1
1,22,2,2,1
0,51,0,0,0
0,51,2,1,1
0,51,3,0,3
0,51,0,1,3
0,51,1,0,0
0,51,0,1,3
1,22,3,1,1
1,22,3,2,1
1,22,3,0,2
1,22,0,0,2
1,22,3,0,2
1,95,0,0,2
0,51,2,2,3
0,51,1,1,3
1,22,3,2,2
0,53,0,0,3
1,22,3,2,1
1,22,3,1,3
1,22,3,1,3
0,53,2,0,3
0,51,2,1,3
1,22,2,1,3
0,51,0,0,2
0,51,3,2,0
0,51,3,0,3
0,51,2,1,0
1,22,2,2,1
1,95,0,0,2
0,51,0,1,3
1,22,3,3,1
0,51,2,1,3
0,51,2,2,2
0,51,1,3,2
