"dev_eui (S)","server_time (S)","bridge_dev_eui (S)","contact_class_score (S)","contact_class_score_diff (N)","contact_id (S)","contact_reported_atstamp (N)","contact_type (S)","counter (S)","current_msg_atstamp (N)","data_type (S)","delay (N)","message (S)","message_sent_at (S)","network (S)","port (N)"
"1677912DF5CC","2021-04-05T19:07:09.195Z","277ACAC128203005","0","26","01BA","1142097","2","17","1142333","0e","23","171677912df5cc0e00116e3d00116d4801ba160100116d48481f1a0200116d489328930200116d51481f160100116d5101ba1a0200116d5b93289302ffffff","2021-04-05T19:11:28.195Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:07:19.195Z","277ACAC128203005","0","147","9328","1142107","2","17","1142333","0e","23","171677912df5cc0e00116e3d00116d4801ba160100116d48481f1a0200116d489328930200116d51481f160100116d5101ba1a0200116d5b93289302ffffff","2021-04-05T19:11:28.195Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:07:19.735Z","277ACAC128203005","0","26","481F","1142107","2","16","1142333","0e","18","121677912df5cc0e00116e3d00116d5b01ba930200116d5b481f1a0200116d649328930200116d6401ba160100116d64481f330200116d6d01ba1a02ffffff","2021-04-05T19:11:23.735Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:07:28.735Z","277ACAC128203005","0","51","481F","1142116","2","16","1142333","0e","18","121677912df5cc0e00116e3d00116d5b01ba930200116d5b481f1a0200116d649328930200116d6401ba160100116d64481f330200116d6d01ba1a02ffffff","2021-04-05T19:11:23.735Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:07:37.315Z","277ACAC128203005","0","22","481F","1142125","1","15","1142334","0e","13","0d1677912df5cc0e00116e3e00116d6d481f160100116d77481f1a0200116d7701ba930200116d8001ba160100116d809328760200116d80481f1601ffffff","2021-04-05T19:11:19.315Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:07:37.735Z","277ACAC128203005","0","26","01BA","1142125","2","16","1142333","0e","18","121677912df5cc0e00116e3d00116d5b01ba930200116d5b481f1a0200116d649328930200116d6401ba160100116d64481f330200116d6d01ba1a02ffffff","2021-04-05T19:11:23.735Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:07:47.315Z","277ACAC128203005","0","147","01BA","1142135","2","15","1142334","0e","13","0d1677912df5cc0e00116e3e00116d6d481f160100116d77481f1a0200116d7701ba930200116d8001ba160100116d809328760200116d80481f1601ffffff","2021-04-05T19:11:19.315Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:07:56.315Z","277ACAC128203005","0","22","481F","1142144","1","15","1142334","0e","13","0d1677912df5cc0e00116e3e00116d6d481f160100116d77481f1a0200116d7701ba930200116d8001ba160100116d809328760200116d80481f1601ffffff","2021-04-05T19:11:19.315Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:08:05.875Z","277ACAC128203005","0","53","01BA","1142153","2","14","1142334","0e","8","081677912df5cc0e00116e3e00116d89481f1a0200116d8901ba350200116d9301ba930200116d93481f1a0200116d939328930200116d9c93287602ffffff","2021-04-05T19:11:14.875Z","HELIUM","14"
"1677912DF5CC","2021-04-05T19:08:15.875Z","277ACAC128203005","0","147","9328","1142163","2","14","1142334","0e","8","081677912df5cc0e00116e3e00116d89481f1a0200116d8901ba350200116d9301ba930200116d93481f1a0200116d939328930200116d9c93287602ffffff","2021-04-05T19:11:14.875Z","HELIUM","14"
